_id,name,email,password,role,avatar,preferences,isActive,lastLogin,createdAt,updatedAt,__v
687a130a7205730e067941a0,Jane Smith,jane@example.com,$2a$12$LeBiVfUBSOuKzXWrdJ8/E.1LEF14nui3JKrBVzsbmhmJfpLYPTv46,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:25:30.037Z,2025-07-18T09:25:30.039Z,2025-07-18T09:25:30.039Z,
687a130a7205730e0679419e,Admin User,admin@pcbuilder.com,$2a$12$St04fexfs.QUqO64tT7KreWxIq0.mv9YsOg7GTGSB4Rih2vsUDkYG,admin,,"{""newsletter"":true,""notifications"":true}",true,2025-08-05T17:26:35.727Z,2025-07-18T09:25:30.039Z,2025-08-05T17:26:35.729Z,
687a130a7205730e0679419f,John Doe,john@example.com,$2a$12$svpJL/H8bvP91q1iA8tBku8VK7Qrpl7/AkhqhCMFWSINZhObMptJK,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:25:30.036Z,2025-07-18T09:25:30.039Z,2025-07-18T09:25:30.039Z,
687a13a4d2d83013536f1d5d,Alex Gaming,alex@gaming.com,$2a$12$ASPA3eY/.dYstj8PIUk1SOf4JdaOwkw/V18oE4.Fa2jvZi3Oe43Ai,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:28:04.525Z,2025-07-18T09:28:04.530Z,2025-07-18T09:28:04.530Z,
687a13a4d2d83013536f1d5f,Mike Tech,mike@tech.com,$2a$12$BCPbtBuKfJktBWMO1D/q4Ow5Kk0R43L3sm4Z.wbNF.mJzsgBsqQ9G,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:28:04.527Z,2025-07-18T09:28:04.531Z,2025-07-18T09:28:04.531Z,
687a13a4d2d83013536f1d60,Lisa Performance,lisa@performance.com,$2a$12$fia95Y6Cdgpt0UP86mnCX.ijZMz2pd/mwQk/ONEaPWeGUFdNQ9KVi,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:28:04.527Z,2025-07-18T09:28:04.531Z,2025-07-18T09:28:04.531Z,
687a13a4d2d83013536f1d62,Emma Workstation,emma@workstation.com,$2a$12$qaxSBQD7ZsQjYVIgMclST.LTzHyAFl6mHnv24ke.PD7VPijyOji0W,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:28:04.527Z,2025-07-18T09:28:04.531Z,2025-07-18T09:28:04.531Z,
687a13a4d2d83013536f1d63,David Enthusiast,david@enthusiast.com,$2a$12$/.SqbIVD27npscr5ZuwjgO1vpe6cvvzH6RZyMv3p3nVVqJEzYC9lG,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:28:04.527Z,2025-07-18T09:28:04.531Z,2025-07-18T09:28:04.531Z,
687a13a4d2d83013536f1d64,Rachel Streamer,rachel@streamer.com,$2a$12$WH8ubV9mtyAMefRPM9v74u9aGa8Hq85U3M.og7gaEw/NpLvGkafJC,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:28:04.527Z,2025-07-18T09:28:04.531Z,2025-07-18T09:28:04.531Z,
687a13a4d2d83013536f1d66,Amy Creator,amy@creator.com,$2a$12$xaJ0l2gxWeHAfshuEJx60eyB89.1ani1Quk6GyiAmJ9iMAcYTbFzu,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:28:04.528Z,2025-07-18T09:28:04.531Z,2025-07-18T09:28:04.531Z,
687a13a4d2d83013536f1d65,Tom Overclocker,tom@overclocker.com,$2a$12$tIjP.YVaU0jl1BcEJk3Z7.YZbRberw03G9ugz0DU7BswYTqCr7PVq,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:28:04.527Z,2025-07-18T09:28:04.531Z,2025-07-18T09:28:04.531Z,
687a13a4d2d83013536f1d5e,Sarah Builder,sarah@builder.com,$2a$12$R3C9wzoEvEEvjOHjibK6YeNukIH/YmhxCgeJq/fXvP06UhZqAqnF.,user,,"{""newsletter"":true,""notifications"":true}",true,2025-07-18T09:28:04.527Z,2025-07-18T09:28:04.531Z,2025-07-18T09:28:04.531Z,
